Rank,Title,Year,Rating,Views,Link
41, Tay Trống Cự Phách,2014,8.5,943K,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_41
42, Ảo Thuật Gia Đấu Trí,2006,8.5,1.4M,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_42
43, Nghi Phạm Vô Hình,1995,8.5,1.1M,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_43
44, Mộ Đom Đóm,1988,8.5,299K,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44
45, Seppuku,1962,8.6,65K,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45
46, Chuyện Tình Thế Chiến,1942,8.5,595K,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_46
47, Những Kẻ Bên Lề,2011,8.5,905K,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_47
48, Oppenheimer,2023,8.5,479K,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_48
49, Thời Đại Tân Kỳ,1936,8.5,254K,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_49
50, Rạp Chiếu Bóng Thiên Đường,1988,8.5,276K,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_50
51, Thưở Ấy Miền Viễn Tây,1968,8.5,343K,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_51
52, Vụ Án Mạng Nhà Bên,1954,8.5,512K,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52
53, Quái Vật Không Gian,1979,8.5,926K,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53
54, Ánh Sáng Đô Thị,1931,8.5,192K,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54
55, Lời Sấm Truyền,1979,8.4,696K,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55
56, Hành Trình Django,2012,8.5,1.6M,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_56
57, Kẻ Mất Trí Nhớ,2000,8.4,1.3M,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57
58, Indiana Jones Và Chiếc Rương Thánh Tích,1981,8.4,1M,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_58
59, Rô-bốt Biết Yêu,2008,8.4,1.2M,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_59
60, Khoảnh Khắc Cuộc Đời,2006,8.4,403K,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_60
61, Sunset Blvd.,1950,8.4,232K,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_61
62, Đường Tới Vinh Quang,1957,8.4,208K,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_62
63, Avengers: Cuộc Chiến Vô Cực,2018,8.4,1.2M,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63
64, Ngôi Nhà Ma,1980,8.4,1.1M,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_64
65, Nhà Độc Tài Vĩ Đại,1940,8.4,233K,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_65
66, Nhân Chứng Buộc Tội,1957,8.4,134K,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66
67, Người Nhện: Vũ Trụ Mới,2018,8.4,638K,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_67
68, Quái Vật Không Gian 2,1986,8.4,747K,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_68
69, Định Mệnh,2009,8.4,1.5M,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
70, Kỵ Sĩ Bóng Đêm Trỗi Dậy,2012,8.4,1.8M,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_70
71, Vẻ Đẹp Mỹ,1999,8.3,1.2M,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_71
72, Tiến Sĩ Strangelove,1964,8.4,509K,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72
73, Oldboy: Báo Thù,2003,8.4,616K,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_73
74, Coco: Hội Ngộ Diệu Kỳ,2017,8.4,563K,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_74
75, Sự Đố Kỵ Của Thiên Tài,1984,8.4,419K,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75
76, Câu Chuyện Đồ Chơi,1995,8.3,1M,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_76
77, Trận Chiến Tàu Ngầm,1981,8.4,260K,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_77
78, Trái Tim Dũng Cảm,1995,8.3,1.1M,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_78
79, Avengers: Hồi Kết,2019,8.4,1.2M,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_79
80, Joker,2019,8.4,1.4M,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_80
81, Công Chúa Mononoke,1997,8.3,419K,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_81
82, Chàng Will Tốt Bụng,1997,8.3,1M,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_82
83, Tên Cậu Là Gì?,2016,8.4,303K,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_83
84, Nước Mỹ Một Thời,1984,8.3,369K,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_84
85, 3 Chàng Ngốc,2009,8.4,421K,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
86, Tengoku to jigoku,1963,8.4,50K,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_86
87, Hát Dưới Mưa,1952,8.3,255K,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_87
88, Capharnaüm,2018,8.4,100K,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_88
89, Nguyện Cầu Cho Một Giấc Mơ,2000,8.3,880K,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_89
90, Câu Chuyện Đồ Chơi 3,2010,8.3,874K,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_90
91, Đến Mà Xem,1985,8.4,91K,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_91
92, Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,1983,8.3,1.1M,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
93, Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,2004,8.3,1.1M,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_93
94, 2001: Chuyến Du Hành Không Gian,1968,8.3,703K,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94
95, Cuộc Săn Lùng,2012,8.3,353K,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
96, Những Kẻ Phản Bội,1992,8.3,1.1M,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_96
97, Ikiru,1952,8.3,85K,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_97
98, Lawrence Xứ Ả Rập,1962,8.3,307K,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_98
99, Công Dân Kane,1941,8.3,458K,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_99
100, Căn Hộ Tình Yêu,1960,8.3,191K,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_100
101, M - Eine Stadt sucht einen Mörder,1931,8.3,165K,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_101
102, Bắc Tây Bắc,1959,8.3,340K,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_102
103, Quay Cuồng,1958,8.3,419K,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_103
104, Double Indemnity,1944,8.3,164K,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
105, Le fabuleux destin d'Amélie Poulain,2001,8.3,782K,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_105
106, Ông Trùm Mặt Sẹo,1983,8.3,891K,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106
107, Áo Giắp Sắt,1987,8.3,774K,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_107
108, Cỗ Máy Tội Phạm,1971,8.3,864K,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_108
109, Tìm Tung Tích Mẹ,2010,8.3,191K,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_109
110, Kỳ Phùng Địch Thủ,1995,8.3,698K,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_110
111, Vút Bay,2009,8.3,1.1M,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_111
112, Anh Hùng Hamilton,2020,8.3,108K,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_112
113, Giết Con Chim Nhại,1962,8.3,328K,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_113
114, The Sting,1973,8.3,274K,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_114
115, Cuộc Chia Ly,2011,8.3,254K,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115
116, Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,1989,8.2,795K,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_116
